customer_id,total_revenue,total_orders,avg_order_value,last_purchase_days,payment_delay_days,missed_payments,cost_to_serve,customer_tenure_months,customer_type,profit,profit_margin,profit_score,norm_delay,norm_missed,norm_recency,risk_score,segment,recommend_action
CUST_00000,39242.99415073294,39,1021.6798539611262,95,28.870041482857232,3.0,924.777389871114,20.0,Regular,38318.216760861826,0.9764345863539609,0.27420881149728543,0.2061221644562085,0.21428571428571427,0.25895316804407714,0.21995378510558455,Monitor,"Monitor closely, limit exposure"
CUST_00001,22208.43672351367,29,733.8939520900448,273,14.566650474782437,2.0,1328.4547037176092,5.0,At Risk,20879.98201979606,0.9401824306565857,0.15140589110387945,0.10399667602274913,0.14285714285714285,0.7493112947658402,0.24860378650512482,Monitor,"Monitor closely, limit exposure"
CUST_00002,23716.079630419372,15,1603.960584923603,137,0.7731053652423153,2.0,695.3052325884418,13.0,Regular,23020.77439783093,0.970682117642386,0.1664817035288336,0.005511461520433448,0.14285714285714285,0.3746556473829201,0.13427857122761455,VIP,"Reward loyalty (discounts, priority service)"
CUST_00003,41608.75672504444,43,957.4588147555844,237,16.959527583117783,2.0,2737.583606516897,50.0,Regular,38871.17311852754,0.934206551168852,0.27810282121671764,0.12108169756149006,0.14285714285714285,0.650137741046832,0.23560308437681957,Monitor,"Monitor closely, limit exposure"
CUST_00004,3030.980122178038,8,448.5401731665256,353,20.287976353080207,0.0,194.0813132557249,10.0,Regular,2836.898808922313,0.9359674740736142,0.024343528192878154,0.14484665344966108,0.0,0.9696969696969697,0.2518780553192584,Drop,Reduce servicing cost / stop credit
CUST_00005,36017.15375283183,21,1724.4506371668012,265,10.20054301597429,1.0,835.5021972798153,53.0,Regular,35181.651555552016,0.9768026590048327,0.2521206028605868,0.07282288957364555,0.07142857142857142,0.7272727272727273,0.20315512985543227,Monitor,"Monitor closely, limit exposure"
CUST_00006,68922.67974732672,39,1776.8637658674595,135,5.933180732084843,2.0,2700.9778187184465,17.099999999999998,New,66221.70192860828,0.9608114799276474,0.4707097485837608,0.04235413867963004,0.14285714285714285,0.3691460055096419,0.14791371371663753,VIP,"Reward loyalty (discounts, priority service)"
CUST_00007,18435.185389012604,19,985.9885366663232,144,10.852213853294897,0.0,1776.5249304161157,49.0,Regular,16658.66045859649,0.9036340078535404,0.12167864959507078,0.07747578639522006,0.0,0.3939393939393939,0.10977819334596682,Grow,Upsell / target marketing campaigns
CUST_00008,5819.625795596666,23,243.82948188859615,19,12.265037154033609,2.0,1780.394606675737,51.0,Regular,4039.2311889209286,0.6940706036421025,0.032810550786608904,0.08756327331190007,0.14285714285714285,0.049586776859504134,0.102085521839518,Grow,Upsell / target marketing campaigns
CUST_00009,9439.270438526495,11,836.8695708421693,231,22.3520646583439,2.0,832.7571277224512,36.0,Regular,8606.513310804045,0.9117773843703489,0.06497410352896406,0.159584139562279,0.14285714285714285,0.6336088154269972,0.2476982760531682,Drop,Reduce servicing cost / stop credit
